subset,overall_n,overall_mae,overall_rmse,overall_bias,critical_n,critical_mae,critical_rmse,critical_bias
FD001,93,12.880175032258066,17.288072229237155,2.1992615913978493,16,6.651443062499999,13.683253309181586,4.5464865625
FD002,235,25.730347918297877,29.984882065797894,-0.5079877906382984,53,28.030113826415096,32.4834718053019,27.413898664150945
FD003,97,49.1504739628866,54.82643549872005,-27.959605179381438,14,51.43624485714286,58.480002871973284,45.75806285714286
FD004,228,27.227610074561404,31.922939478400803,4.487468662280702,40,38.56073565,43.43018710373561,38.56073565
